Source Labware,Source Well,Volume (ul),Dest Labware,Dest Well,Source Height,Dest Height,Mix Volume,Flow Aspirate,Flow Dispense,Air Gap,Tip Action
tube_rack_96_1500ul_4,A1,8,384_ldv_12ul_2,A15,15,5,0,1,1,0,keep
tube_rack_96_1500ul_4,B1,8,384_ldv_12ul_2,B15,15,5,0,1,1,0,keep
384_ldv_12ul_2,A15,15,tube_rack_96_1500ul_4,A2,1.5,15,0,1,1,0,keep
384_ldv_12ul_2,B15,15,tube_rack_96_1500ul_4,A2,1.5,15,0,1,1,0,keep
